File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/PHS_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:55 $
Title: Equation data
Date: Tuesday, 4 June 1996 21:36:14 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
136    .708333333333319E-04,0
    -.641345171860948,.771360708881684
137    .713541666666652E-04,0
    -.700242053637245,.719387290773909
138    .718749999999985E-04,0
    -.754400507884983,.662426072162678
139    .723958333333319E-04,0
    -.803445851958558,.600798435845192
140    .729166666666652E-04,0
    -.84713507690368,.534981962557864
141    .734374999999985E-04,0
    -.885350548091369,.465592008253276
142    .739583333333319E-04,0
    -.918072019854981,.393336901594566
143    .744791666666652E-04,0
    -.945332352486659,.318954859212351
144    .749999999999985E-04,0
    -.967166183842878,.243145115519704
145    .755208333333319E-04,0
    -.983562836894239,.166507626636181
146    .760416666666652E-04,0
    -.994453511274363,.8952942307735E-01
147    .765624999999985E-04,0
    -.999638590159051,.1252736372886E-01
148    .770833333333318E-04,0
    -.998877579672393,-.643442044844055E-01
149    .776041666666652E-04,0
    -.991901351799993,-.140961991292056
150    .781249999999985E-04,0
    -.978475433307143,-.217191385881024
151    .786458333333318E-04,0
    -.958463152609461,-.29281199653112
152    .791666666666652E-04,0
    -.931878893657568,-.367459207292551
153    .796874999999985E-04,0
    -.898918941418991,-.440596063061732
154    .802083333333318E-04,0
    -.859961587289125,-.511523874509158
155    .807291666666652E-04,0
    -.815534436647594,-.579431866800964
156    .812499999999985E-04,0
    -.766178777229349,-.643487531011764
157    .817708333333318E-04,0
    -.71262749829542,-.70287797703724
158    .822916666666651E-04,0
    -.655435884118406,-.75700835565138
159    .828124999999985E-04,0
    -.595048331113152,-.805480947234574
160    .833333333333318E-04,0
    -.531746436561309,-.848147389578264
161    .838541666666651E-04,0
    -.465655946346687,-.885088671188702
162    .843749999999985E-04,0
    -.396793947116207,-.916549902078691
163    .848958333333318E-04,0
    -.32514788601487,-.942841942742312
164    .854166666666651E-04,0
    -.250770370620315,-.964229887766774
165    .859374999999985E-04,0
    -.173869131199933,-.980832400419401
166    .864583333333318E-04,0
    -.949464066594012E-01,-.992544985715785
167    .869791666666651E-04,0
    -.146130425464406E-01,-.999051242745866
168    .874999999999985E-04,0
    .663022762192462E-01,-.999846077802978
169    .880208333333318E-04,0
    .14679799938136,-.994324887799929
170    .885416666666651E-04,0
    .225840288525238,-.981915524952744
171    .890624999999984E-04,0
    .302487840872583,-.96221533387074
172    .895833333333318E-04,0
    .376005990744413,-.935107855768802
173    .901041666666651E-04,0
    .445944500994423,-.900832224670644
174    .906249999999984E-04,0
    .512159674188686,-.859986836409587
175    .911458333333317E-04,0
    .574772353569104,-.813461971219674
176    .916666666666651E-04,0
    .634127136585484,-.76226497781589
177    .921874999999984E-04,0
    .690438308725115,-.707517328276219
178    .927083333333317E-04,0
    .743900101760912,-.650082497174962
179    .932291666666651E-04,0
    .794423225153005,-.590530090992422
180    .937499999999984E-04,0
    .841584219595121,-.529042140194502
181    .942708333333317E-04,0
    .884624640900231,-.465423581399974
182    .947916666666651E-04,0
    .92253167792006,-.399201188656408
183    .953124999999984E-04,0
    .954189399842706,-.329795359807442
184    .958333333333317E-04,0
    .978573303551421,-.256732215387656
185    .96354166666665E-04,0
    .994948943557524,-.179852319167727
186    .968749999999984E-04,0
    1.00297096880002,-.995159381156653E-01
187    .973958333333317E-04,0
