File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/CDMA_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:44 $
Title: Equation data
Date: Tuesday, 4 November 1997 21:45:20 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
243    .494384766E-04,0
    -.18244897,-.34218807
244    .496419271E-04,0
    -.30723958,-.34941363
245    .498453776E-04,0
    -.419681,-.30919374
246    .500488281E-04,0
    -.45385703,-.23634163
247    .502522786E-04,0
    -.37107632,-.16389506
248    .504557292E-04,0
    -.18241218,-.13150413
249    .506591797E-04,0
    .521391E-01,-.16207049
250    .508626302E-04,0
    .24484144,-.25792524
251    .510660807E-04,0
    .31789107,-.35630377
252    .512695312E-04,0
    .229151,-.40430382
253    .514729818E-04,0
    .3608421E-01,-.3476309
254    .516764323E-04,0
    -.17666335,-.17813488
255    .518798828E-04,0
    -.30136345,.5134691E-01
256    .520833333E-04,0
    -.2624365,.24563364
257    .522867839E-04,0
    -.9319158E-01,.31361377
258    .524902344E-04,0
    .12815171,.2309939
259    .526936849E-04,0
    .28344751,.2069893E-01
260    .528971354E-04,0
    .29056219,-.20428826
261    .531005859E-04,0
    .14419411,-.33394408
262    .533040365E-04,0
    -.8158527E-01,-.29177333
263    .53507487E-04,0
    -.27009849,-.11466179
264    .537109375E-04,0
    -.32378249,.11300878
265    .53914388E-04,0
    -.21675844,.26808935
266    .541178385E-04,0
    -.39048E-02,.25544519
267    .543212891E-04,0
    .21636836,.9592481E-01
268    .545247396E-04,0
    .3563378,-.13253795
269    .547281901E-04,0
    .37920342,-.30014019
270    .549316406E-04,0
    .31074527,-.31049867
271    .551350911E-04,0
    .21902792,-.15473505
272    .553385417E-04,0
    .15768906,.8407616E-01
273    .555419922E-04,0
    .1707734,.28030824
274    .557454427E-04,0
    .22430853,.33399225
275    .559488932E-04,0
    .26565071,.21924933
276    .561523437E-04,0
    .25600136,-.663614E-02
277    .563557943E-04,0
    .15680306,-.23630484
278    .565592448E-04,0
    -.251545E-02,-.38567463
279    .567626953E-04,0
    -.17618786,-.40067362
280    .569661458E-04,0
    -.31116799,-.3258882
281    .571695964E-04,0
    -.37333841,-.23438608
282    .573730469E-04,0
    -.35962047,-.19280606
283    .575764974E-04,0
    -.29493547,-.21904269
284    .577799479E-04,0
    -.2061954,-.27526121
285    .579833984E-04,0
    -.15086323,-.2956924
286    .58186849E-04,0
    -.14453596,-.24271753
287    .583902995E-04,0
    -.19221672,-.9477967E-01
288    .5859375E-04,0
    -.28482767,.9049641E-01
289    .587972005E-04,0
    -.36318089,.24012774
290    .59000651E-04,0
    -.39102964,.28882244
291    .592041016E-04,0
    -.33468573,.21338431
292    .594075521E-04,0
    -.18207214,.4223906E-01
293    .596110026E-04,0
    .916254E-02,-.1603973
294    .598144531E-04,0
    .18219899,-.3371683
295    .600179036E-04,0
    .26634959,-.42058379
296    .602213542E-04,0
    .22476958,-.40566078
297    .604248047E-04,0
    .7535348E-01,-.30782006
298    .606282552E-04,0
    -.11624987,-.16397975
299    .608317057E-04,0
    -.27205437,-.1266487E-01
300    .610351562E-04,0
    -.32827304,.11828388
301    .612386068E-04,0
    -.30288612,.21518119
302    .614420573E-04,0
    -.23442797,.27581091
303    .616455078E-04,0
    -.19096316,.30356413
304    .618489583E-04,0
    -.21337507,.30367021
305    .620524089E-04,0
    -.29092808,.28544731
306    .622558594E-04,0
    -.3657135,.24864574
307    .624593099E-04,0
    -.36466362,.22395558
308    .626627604E-04,0
    -.25975026,.21202275
309    .628662109E-04,0
    -.5618935E-01,.22197882
310    .630696615E-04,0
    .1558721,.23886126
311    .63273112E-04,0
    .28467791,.26748129
312    .634765625E-04,0
    .27257392,.28051311
313    .63680013E-04,0
    .12754444,.26900749
314    .638834635E-04,0
    -.7887584E-01,.23623709
315    .640869141E-04,0
    -.24396185,.20181591
316    .642903646E-04,0
    -.29818603,.19280525
317    .644938151E-04,0
    -.20280532,.22733372
318    .646972656E-04,0
    -.1574414E-01,.30018583
319    .649007161E-04,0
    .17422484,.37832382
320    .651041667E-04,0
    .2892477,.41249985
321    .653076172E-04,0
    .2594009,.36402256
322    .655110677E-04,0
    .10018848,.22729693
323    .657145182E-04,0
    -.13330511,.3554633E-01
324    .659179687E-04,0
    -.35648514,-.14893755
325    .661214193E-04,0
    -.49063541,-.25982564
326    .663248698E-04,0
    -.49063541,-.24393769
327    .665283203E-04,0
    -.35648514,-.12569888
328    .667317708E-04,0
    -.14594927,.5366484E-01
329    .669352214E-04,0
    .8310451E-01,.21846273
330    .671386719E-04,0
    .24152474,.32238162
331    .673421224E-04,0
    .28088085,.33096912
332    .675455729E-04,0
    .1850261,.28266227
333    .677490234E-04,0
    .167251E-01,.22491934
334    .67952474E-04,0
    -.15730425,.21128071
335    .681559245E-04,0
    -.25723854,.23335844
336    .68359375E-04,0
    -.22542627,.27465394
337    .685628255E-04,0
    -.8987488E-01,.28481881
338    .68766276E-04,0
    .971863E-01,.22418909
339    .689697266E-04,0
    .24698459,.8937369E-01
340    .691731771E-04,0
    .27597101,-.8297664E-01
341    .693766276E-04,0
    .18097249,-.23814635
342    .695800781E-04,0
    -.1063086E-01,-.31890231
343    .697835286E-04,0
    -.22085294,-.32987013
344    .699869792E-04,0
    -.37292635,-.28376126
345    .701904297E-04,0
    -.42206673,-.22839865
346    .703938802E-04,0
    -.36921771,-.20424124
347    .705973307E-04,0
    -.251051,-.2211306
348    .708007812E-04,0
    -.11432537,-.25620491
349    .710042318E-04,0
    .77358E-02,-.27343707
350    .712076823E-04,0
    .10519463,-.25102517
351    .714111328E-04,0
    .18708512,-.1997048
352    .716145833E-04,0
    .26306263,-.15830322
353    .718180339E-04,0
    .32495724,-.16785065
354    .720214844E-04,0
    .34699972,-.22805861
355    .722249349E-04,0
    .30211223,-.32673782
356    .724283854E-04,0
    .18280921,-.39251258
357    .726318359E-04,0
    .1426105E-01,-.37044379
358    .728352865E-04,0
    -.15055693,-.24252778
359    .73038737E-04,0
    -.25243185,-.4370737E-01
360    .732421875E-04,0
    -.25243185,.14978717
361    .73445638E-04,0
    -.15055693,.25349817
362    .736490885E-04,0
    .1426105E-01,.21898228
363    .738525391E-04,0
    .18280921,.649594E-01
364    .740559896E-04,0
    .31475639,-.12922125
365    .742594401E-04,0
    .36408369,-.26312996
366    .744628906E-04,0
    .3428334,-.27901792
367    .746663411E-04,0
    .27142948,-.15245991
368    .748697917E-04,0
    .17628386,.468409E-01
369    .750732422E-04,0
    .7272539E-01,.22781648
370    .752766927E-04,0
    -.3776526E-01,.29513912
371    .754801432E-04,0
    -.15527286,.2313179
372    .756835937E-04,0
    -.28223074,.5195418E-01
373    .758870443E-04,0
    -.37530264,-.16726129
374    .760904948E-04,0
    -.40958476,-.35439077
375    .762939453E-04,0
    -.35570388,-.43306577
376    .764973958E-04,0
    -.20134478,-.39957585
377    .767008464E-04,0
    -.326201E-02,-.27664033
378    .769042969E-04,0
    .18091507,-.12303226
379    .771077474E-04,0
    .27802118,.328362E-01
380    .773111979E-04,0
    .26113874,.15075313
381    .775146484E-04,0
    .12545653,.22598244
382    .77718099E-04,0
    -.5981954E-01,.26744405
383    .779215495E-04,0
    -.22170653,.28568797
384    .78125E-04,0
    -.31913782,.28658625
385    .783284505E-04,0
    -.32481442,.27280315
386    .78531901E-04,0
    -.28241992,.2612899
387    .787353516E-04,0
    -.2421204,.24103955
388    .789388021E-04,0
    -.22947624,.22989891
389    .791422526E-04,0
    -.26533596,.23034567
390    .793457031E-04,0
    -.30693826,.22806
391    .795491536E-04,0
    -.31077096,.23501204
392    .797526042E-04,0
    -.23250778,.23501204
393    .799560547E-04,0
    -.9228878E-01,.22806
394    .801595052E-04,0
    .7995547E-01,.23034567
395    .803629557E-04,0
    .22019126,.22989891
396    .805664062E-04,0
    .2594856,.24103955
397    .807698568E-04,0
    .19191411,.2612899
398    .809733073E-04,0
    .2709613E-01,.27280315
399    .811767578E-04,0
    -.17575545,.28658625
400    .813802083E-04,0
    -.35964114,.28568797
401    .815836589E-04,0
    -.45176912,.26744405
402    .817871094E-04,0
    -.4387373,.21333829
403    .819905599E-04,0
    -.32949491,.13366916
404    .821940104E-04,0
    -.14885302,.1496004E-01
405    .823974609E-04,0
    .3397325E-01,-.13139911
406    .826009115E-04,0
    .17863993,-.26583907
407    .82804362E-04,0
    .24654043,-.36710661
408    .830078125E-04,0
    .22412852,-.3875647
409    .83211263E-04,0
    .12213983,-.31344329
410    .834147135E-04,0
    -.2885413E-01,-.16136987
411    .836181641E-04,0
    -.18524361,.2387117E-01
412    .838216146E-04,0
    -.31719079,.1830836
413    .840250651E-04,0
    -.37867677,.26118294
414    .842285156E-04,0
    -.3712505,.242555
415    .844319661E-04,0
    -.29973281,.1214945
416    .846354167E-04,0
    -.18217528,-.4352419E-01
417    .848388672E-04,0
    -.4464239E-01,-.19080626
418    .850423177E-04,0
    .8599956E-01,-.25101421
419    .852457682E-04,0
    .18922904,-.2119588
420    .854492187E-04,0
    .25484806,-.7131328E-01
421    .856526693E-04,0
    .28356507,.12313638
422    .858561198E-04,0
    .28277287,.30473639
423    .860595703E-04,0
    .25912536,.4126651
424    .862630208E-04,0
    .20003029,.4126651
425    .864664714E-04,0
    .11846881,.30473639
426    .866699219E-04,0
    .85868E-03,.13578054
427    .868733724E-04,0
    -.1412278,-.5422931E-01
428    .870768229E-04,0
    -.28119723,-.19408264
429    .872802734E-04,0
    -.38224954,-.24264736
430    .87483724E-04,0
    -.40903491,-.20160752
431    .876871745E-04,0
    -.34278012,-.7599343E-01
432    .87890625E-04,0
    -.18130635,.7599343E-01
433    .880940755E-04,0
    .1333023E-01,.20160752
434    .88297526E-04,0
    .18557448,.25529152
435    .885009766E-04,0
